"","text","cleaned_text","hashtag","tagged_account"
"55","We signed two pieces of major legislation this week Criminal Justice Reform and the Farm Bill. These are two Big Deals but all the Fake News Media wants to talk about is “the mistake” of bringing our young people back home from the Never Ending Wars. It all began 19 years ago!","We signed two pieces of major legislation this week Criminal Justice Reform and the Farm Bill These are two Big Deals but all the Fake News Media wants to talk about is the mistake of bringing our young people back home from the Never Ending Wars It all began 19 years ago","",""
"56","Unthinkable devastation from the tsunami disaster in Indonesia. More than two hundred dead and nearly a thousand injured or unaccounted for. We are praying for recovery and healing. America is with you!","Unthinkable devastation from the tsunami disaster in Indonesia More than two hundred dead and nearly a thousand injured or unaccounted for We are praying for recovery and healing America is with you","",""
"57","I just had a long and productive call with President @RT_Erdogan of Turkey. We discussed ISIS our mutual involvement in Syria &amp; the slow &amp; highly coordinated pullout of U.S. troops from the area. After many years they are coming home. We also discussed heavily expanded Trade.","I just had a long and productive call with President  of Turkey We discussed ISIS our mutual involvement in Syria amp the slow amp highly coordinated pullout of US troops from the area After many years they are coming home We also discussed heavily expanded Trade","","@RT_Erdogan"
"58","I am pleased to announce that our very talented Deputy Secretary of Defense Patrick Shanahan will assume the title of Acting Secretary of Defense starting January 1 2019. Patrick has a long list of accomplishments while serving as Deputy &amp; previously Boeing. He will be great!","I am pleased to announce that our very talented Deputy Secretary of Defense Patrick Shanahan will assume the title of Acting Secretary of Defense starting January 1 2019 Patrick has a long list of accomplishments while serving as Deputy amp previously Boeing He will be great","",""
"59","The only way to stop drugs gangs human trafficking criminal elements and much else from coming into our Country is with a Wall or Barrier. Drones and all of the rest are wonderful and lots of fun but it is only a good old fashioned Wall that works!","The only way to stop drugs gangs human trafficking criminal elements and much else from coming into our Country is with a Wall or Barrier Drones and all of the rest are wonderful and lots of fun but it is only a good old fashioned Wall that works","",""
"60","When President Obama ingloriously fired Jim Mattis I gave him a second chance. Some thought I shouldn’t I thought I should. Interesting relationship-but I also gave all of the resources that he never really had. Allies are very important-but not when they take advantage of U.S.","When President Obama ingloriously fired Jim Mattis I gave him a second chance Some thought I shouldnt I thought I should Interesting relationshipbut I also gave all of the resources that he never really had Allies are very importantbut not when they take advantage of US","",""
"61","If anybody but your favorite President Donald J. Trump announced that after decimating ISIS in Syria we were going to bring our troops back home (happy &amp; healthy) that person would be the most popular hero in America. With me hit hard instead by the Fake News Media. Crazy!","If anybody but your favorite President Donald J Trump announced that after decimating ISIS in Syria we were going to bring our troops back home happy amp healthy that person would be the most popular hero in America With me hit hard instead by the Fake News Media Crazy","",""
"62","Brett McGurk who I do not know was appointed by President Obama in 2015. Was supposed to leave in February but he just resigned prior to leaving. Grandstander? The Fake News is making such a big deal about this nothing event!","Brett McGurk who I do not know was appointed by President Obama in 2015 Was supposed to leave in February but he just resigned prior to leaving Grandstander The Fake News is making such a big deal about this nothing event","",""
"63","I will not be going to Florida because of the Shutdown - Staying in the White House!  #MAGA","I will not be going to Florida because of the Shutdown  Staying in the White House  ","#MAGA",""
"64","Senate adjourns until December 27th.","Senate adjourns until December 27th","",""
"65","I won an election said to be one of the greatest of all time based on getting out of endless &amp; costly foreign wars &amp; also based on Strong Borders which will keep our Country safe. We fight for the borders of other countries but we won’t fight for the borders of our own!","I won an election said to be one of the greatest of all time based on getting out of endless amp costly foreign wars amp also based on Strong Borders which will keep our Country safe We fight for the borders of other countries but we wont fight for the borders of our own","",""
"66","The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrier or Wall. Let work begin!","The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrier or Wall Let work begin","",""
"67","Will be having lunch in White House residence with large group concerning Border Security.","Will be having lunch in White House residence with large group concerning Border Security","",""
"68","....going to be there for three months and that was seven years ago - we never left. When I became President ISIS was going wild. Now ISIS is largely defeated and other local countries including Turkey should be able to easily take care of whatever remains. We’re coming home!","going to be there for three months and that was seven years ago  we never left When I became President ISIS was going wild Now ISIS is largely defeated and other local countries including Turkey should be able to easily take care of whatever remains Were coming home","",""
"69","I am in the White House working hard. News reports concerning the Shutdown and Syria are mostly FAKE. We are negotiating with the Democrats on desperately needed Border Security (Gangs Drugs Human Trafficking &amp; more) but it could be a long stay. On Syria we were originally...","I am in the White House working hard News reports concerning the Shutdown and Syria are mostly FAKE We are negotiating with the Democrats on desperately needed Border Security Gangs Drugs Human Trafficking amp more but it could be a long stay On Syria we were originally","",""
