"","text","cleaned_text","hashtag","tagged_account","filtered"
"3338","We need the Wall for the safety and security of our country. We need the Wall to help stop the massive inflow of drugs from Mexico now rated the number one most dangerous country in the world. If there is no Wall there is no Deal!","We need the Wall for the safety and security of our country We need the Wall to help stop the massive inflow of drugs from Mexico now rated the number one most dangerous country in the world If there is no Wall there is no Deal","",""," need  wall   safety  security   country  need  wall  help stop  massive inflow  drugs  mexico  rated  number one  dangerous country   world     wall    deal"
"3339","Will be going to Pennsylvania today in order to give my total support to RICK SACCONE running for Congress in a Special Election (March 13). Rick is a great guy. We need more Republicans to continue our already successful agenda!","Will be going to Pennsylvania today in order to give my total support to RICK SACCONE running for Congress in a Special Election March  Rick is a great guy We need more Republicans to continue our already successful agenda","","","  going  pennsylvania today  order  give  total support  rick saccone running  congress   special election march  rick   great guy  need  republicans  continue  already successful agenda"
"3340","....The Wall will be paid for directly or indirectly or through longer term reimbursement by Mexico which has a ridiculous $71 billion dollar trade surplus with the U.S. The $20 billion dollar Wall is “peanuts” compared to what Mexico makes from the U.S. NAFTA is a bad joke!","The Wall will be paid for directly or indirectly or through longer term reimbursement by Mexico which has a ridiculous  billion dollar trade surplus with the US The  billion dollar Wall is peanuts compared to what Mexico makes from the US NAFTA is a bad joke","",""," wall   paid  directly  indirectly   longer term reimbursement  mexico    ridiculous  billion dollar trade surplus   us   billion dollar wall  peanuts compared   mexico makes   us nafta   bad joke"
"3341","The Wall is the Wall it has never changed or evolved from the first day I conceived of it. Parts will be of necessity see through and it was never intended to be built in areas where there is natural protection such as mountains wastelands or tough rivers or water.....","The Wall is the Wall it has never changed or evolved from the first day I conceived of it Parts will be of necessity see through and it was never intended to be built in areas where there is natural protection such as mountains wastelands or tough rivers or water","",""," wall   wall   never changed  evolved   first day  conceived   parts    necessity see     never intended   built  areas    natural protection   mountains wastelands  tough rivers  water"
"3342","ISIS is in retreat our economy is booming investments and jobs are pouring back into the country and so much more! Together there is nothing we can’t overcome--even a very biased media. We ARE Making America Great Again!","ISIS is in retreat our economy is booming investments and jobs are pouring back into the country and so much more Together there is nothing we cant overcomeeven a very biased media We ARE Making America Great Again","","","isis   retreat  economy  booming investments  jobs  pouring back   country   much  together   nothing  cant overcomeeven   biased media   making america great "
"3343","Despite some very corrupt and dishonest media coverage there are many great reporters I respect and lots of GOOD NEWS for the American people to be proud of!","Despite some very corrupt and dishonest media coverage there are many great reporters I respect and lots of GOOD NEWS for the American people to be proud of","","","despite   corrupt  dishonest media coverage   many great reporters  respect  lots  good news   american people   proud "
"3344","And the FAKE NEWS winners are...https://t.co/59G6x2f7fD","And the FAKE NEWS winners are","","","  fake news winners "
"3345","Main Street is BACK! Strongest Holiday Sales bump since the Great Recession -- beating forecasts by BILLIONS OF DOLLARS. https://t.co/kDcGbMieSt","Main Street is BACK Strongest Holiday Sales bump since the Great Recession  beating forecasts by BILLIONS OF DOLLARS ","","","main street  back strongest holiday sales bump since  great recession  beating forecasts  billions  dollars "
"3346","During the campaign I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country. I am very proud to see companies like Chrysler moving operations from Mexico to Michigan where there are so many great American workers! https://t.co/hz2q9UTfnF","During the campaign I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country I am very proud to see companies like Chrysler moving operations from Mexico to Michigan where there are so many great American workers ","","","  campaign  promised  make america great   bringing businesses  jobs back   country    proud  see companies like chrysler moving operations  mexico  michigan     many great american workers "
"3347","I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United States. Great to see Apple follow through as a result of TAX CUTS. Huge win for American workers and the USA! https://t.co/OwXVUyLOb1","I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United States Great to see Apple follow through as a result of TAX CUTS Huge win for American workers and the USA ","",""," promised   policies would allow companies like apple  bring massive amounts  money back   united states great  see apple follow    result  tax cuts huge win  american workers   usa "
"3348","Today we witnessed an incredible moment in history – the presentation of Congress’ highest civilian honor to our friend and true AMERICAN HERO Bob Dole. #CongressionalGoldMedal https://t.co/qNQqDLRmCk","Today we witnessed an incredible moment in history  the presentation of Congress highest civilian honor to our friend and true AMERICAN HERO Bob Dole  ","#CongressionalGoldMedal","","today  witnessed  incredible moment  history   presentation  congress highest civilian honor   friend  true american hero bob dole  "
"3349","Eric Trump on @foxandfriends  now!","Eric Trump on   now","","@foxandfriends","eric trump    "
"3350","....we need to keep America safe including moving away from a random chain migration and lottery system to one that is merit-based. https://t.co/7PtoSFK1n2","we need to keep America safe including moving away from a random chain migration and lottery system to one that is meritbased ","",""," need  keep america safe including moving away   random chain migration  lottery system  one   meritbased "
